column id ,Utility ID,Utility Name,Plant Name,State,,County,Generator ID,Status,Technology,Prime Mover,Sector Name,Sector,Nameplate Capacity (MW),Operating Month,Operating Year,Operating_Date,Retirement Month,Retirement Year,Lenses / Mirrors?,Single-Axis Tracking?,Dual-Axis Tracking?,Fixed Tilt?,Bifacial?,East West Fixed Tilt?,Parabolic Trough?,Linear Fresnel?,Power Tower?,Dish Engine?,Other Solar Technology?,Azimuth Angle,Tilt Angle,DC Net Capacity (MW),Crystalline Silicon?,Thin-Film (CdTe)?,Thin-Film (A-Si)?,Thin-Film (CIGS)?,Thin-Film (Other)?,Other Materials?,Net Metering Agreement?,Net Metering DC Capacity (MW),Virtual Net Metering Agreement?,Virtual Net Metering DC Capacity (MW)
3917,60281,"Altus Power America Management, LLC",FastSun 19 CSG,MN,Minnesota,Dakota,FS19,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,1.0,6,2020,2020-06-01,N/A,N/A,,,,Y,,,,,,,,180.0,20.0,1.4,Y,,,,,,N, ,Y,1.0
3918,60281,"Altus Power America Management, LLC",FastSun 18 CSG,MN,Minnesota,Winona,FS18,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,1.0,1,2020,2020-01-01,N/A,N/A,,Y,,,,,,,,,N,180.0,20.0,1.3,Y,,,,,N,N, ,Y,1.3
3919,60281,"Altus Power America Management, LLC",FastSun 13 CSG,MN,Minnesota,Douglas,FS13,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,1.0,12,2019,2019-12-01,N/A,N/A,,Y,,,,,,,,,,180.0,20.0,1.3,Y,,,,,,N, ,Y,1.0
3920,60281,"Altus Power America Management, LLC",FastSun 14 CSG,MN,Minnesota,Blue Earth,FS14,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,1.0,12,2019,2019-12-01,N/A,N/A,,Y,,,,,,,,,,180.0,20.0,1.4,Y,,,,,,N, ,Y,1.0
3921,60281,"Altus Power America Management, LLC",FastSun 11 CSG,MN,Minnesota,Goodhue,FS11,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,1.0,3,2020,2020-03-01,N/A,N/A,,Y,,,,,,,,,,180.0,20.0,1.4,Y,,,,,,N, ,Y,1.0
3922,60281,"Altus Power America Management, LLC",FastSun 10 CSG,MN,Minnesota,Goodhue,FS10,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,1.0,3,2020,2020-03-01,N/A,N/A,,Y,,,,,,,,,,180.0,20.0,1.4,Y,,,,,,N, ,Y,1.0
3923,60281,"Altus Power America Management, LLC",FastSun 8 CSG,MN,Minnesota,Nicollet,FS8,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,1.0,12,2019,2019-12-01,N/A,N/A,,Y,,,,,,,,,,180.0,20.0,1.4,Y,,,,,,N, ,Y,1.0
3924,60281,"Altus Power America Management, LLC",FastSun 9 CSG,MN,Minnesota,Goodhue,FS9,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,1.0,3,2020,2020-03-01,N/A,N/A,,Y,,,,,,,,,,180.0,20.0,1.4,Y,,,,,,N, ,Y,1.0
3925,61012,AES Distributed Energy,Lane Ave Solar LLC,MA,Massachusetts,Worcester,HANRA,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,1.5,9,2021,2021-09-01,N/A,N/A,,,,Y,,,,,,,,3.0,25.0,2.0,Y,,,,,,Y,2.0,N, 
3926,60281,"Altus Power America Management, LLC",FastSun 3 CSG,MN,Minnesota,Stearns,FS3,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,1.0,12,2019,2019-12-01,N/A,N/A,,Y,,,,,,,,,,180.0,20.0,1.4,Y,,,,,,N, ,Y,1.0
3927,60281,"Altus Power America Management, LLC",FastSun 7 CSG,MN,Minnesota,McLeod,FS7,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,1.0,12,2019,2019-12-01,N/A,N/A,,Y,,,,,,,,,,180.0,20.0,1.2,Y,,,,,,N, ,Y,1.0
3928,61012,AES Distributed Energy,Ryan Road Solar LLC Hybrid(CSG),MA,Massachusetts,Worcester,ORCHA,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,4.3,12,2021,2021-12-01,N/A,N/A,,,,Y,,,,,,,,3.0,25.0,9.0,Y,,,,,,N, ,N, 
3929,60281,"Altus Power America Management, LLC",FastSun 5 CSG,MN,Minnesota,Winona,FS5,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,1.0,1,2020,2020-01-01,N/A,N/A,,,,Y,,,,,,,,180.0,20.0,1.4,Y,,,,,,N, ,Y,1.4
3930,60281,"Altus Power America Management, LLC",FastSun 1 CSG,MN,Minnesota,Meeker,FS1,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,1.0,12,2019,2019-12-01,N/A,N/A,,Y,,,,,,,,,,180.0,20.0,1.3,Y,,,,,,N, ,Y,1.0
3931,61012,AES Distributed Energy,W. Orange Rd Solar LLC,MA,Massachusetts,Franklin,HEYES,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,5.0,9,2021,2021-09-01,N/A,N/A,,,,Y,,,,,,,,11.0,25.0,6.5,Y,,,,,,N, ,N, 
3932,61012,AES Distributed Energy,Wilbur Woods Solar LLC,MA,Massachusetts,Franklin,DESMO,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,5.0,9,2021,2021-09-01,N/A,N/A,,,,Y,,,,,,,,11.0,26.0,7.2,Y,,,,,,N, ,N, 
3933,49893,Invenergy Services LLC,Prineville Solar Energy LLC,OR,Oregon,Crook,GEN1,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,40.0,2,2021,2021-02-01,N/A,N/A,,Y,,,,,,,,,,0.0,60.0,51.2,Y,,,,,,N, ,N, 
3934,49893,Invenergy Services LLC,Millican Solar Energy LLC,OR,Oregon,Crook,GEN1,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,70.0,3,2021,2021-03-01,N/A,N/A,,Y,,,,,,,,,,0.0,60.0,76.8,Y,,,,,,N, ,N, 
3935,61227,Nautilus Solar Solutions,Hollygrove CSG,NY,New York,Wayne,32,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,2.0,12,2018,2018-12-01,N/A,N/A,,Y,,,,,,,,,,0.0,25.0,3.0,Y,,,,,,N, ,Y,3.0
3936,61227,Nautilus Solar Solutions,Guildlerland CSG,NY,New York,Albany,106,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,2.0,12,2018,2018-12-01,N/A,N/A,,Y,,,,,,,,,,0.0,25.0,3.0,Y,,,,,,N, ,Y,3.0
3937,62885,"CalCity Solar 1, LLC",CalCity Solar 1,CA,California,Kern,CALTR,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,3.0,11,2019,2019-11-01,N/A,N/A,,Y,,,,,,,,,,180.0,30.0,3.8,Y,,,,,,N, ,N, 
3938,61227,Nautilus Solar Solutions,Howland CSG,NY,New York,Oswego,26,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,2.0,12,2018,2018-12-01,N/A,N/A,,Y,,,,,,,,,,0.0,25.0,3.0,Y,,,,,,N, ,Y,3.0
3939,61227,Nautilus Solar Solutions,Gifford CSG,NY,New York,Schenectady,131,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,2.0,12,2018,2018-12-01,N/A,N/A,,Y,,,,,,,,,,0.0,25.0,3.0,Y,,,,,,N, ,Y,3.0
3940,61227,Nautilus Solar Solutions,Czub CSG,NY,New York,Rensselaer,114,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,2.0,12,2018,2018-12-01,N/A,N/A,,Y,,,,,,,,,,0.0,25.0,3.0,Y,,,,,,N, ,Y,3.0
3941,61227,Nautilus Solar Solutions,Mereand CSG,NY,New York,Jefferson,199,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,2.0,12,2018,2018-12-01,N/A,N/A,,Y,,,,,,,,,,0.0,25.0,3.0,Y,,,,,,N, ,Y,3.0
3942,61227,Nautilus Solar Solutions,Aegis CSG,NY,New York,Ontario,19,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,2.0,12,2018,2018-12-01,N/A,N/A,,Y,,,,,,,,,,0.0,25.0,3.0,Y,,,,,,N, ,Y,3.0
3943,61227,Nautilus Solar Solutions,Pearl CSG,NY,New York,Genesee,28,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,2.0,12,2018,2018-12-01,N/A,N/A,,Y,,,,,,,,,,0.0,25.0,3.0,Y,,,,,,N, ,Y,3.0
3944,61227,Nautilus Solar Solutions,Pearl CSG,NY,New York,Genesee,29,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,2.0,12,2018,2018-12-01,N/A,N/A,,Y,,,,,,,,,,0.0,25.0,3.0,Y,,,,,,N, ,Y,3.0
3945,61012,AES Distributed Energy,Clover Creek Solar Community Solar,UT,Utah,Juab,CLVR,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,80.0,12,2021,2021-12-01,N/A,N/A,,Y,,,,,,,,,,0.0,1.0,107.3,,Y,,,,,N, ,N, 
3946,7140,Georgia Power Co,Fort Valley State University Solar,GA,Georgia,Peach,1,OP,Solar Photovoltaic,PV,Electric Utility,1,10.8,1,2022,2022-01-01,N/A,N/A,,,,Y,,,,,,,,180.0,20.0,15.1,Y,,,,,,N, ,N, 
3947,62856,"Forefront Power, LLC",SCCCD - Fresno Community College,CA,California,Fresno,231,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,2.2,10,2018,2018-10-01,N/A,N/A,,N,,Y,,,,,,,,180.0,7.0,2.4,Y,,,,,,Y,2.4,N, 
3948,62856,"Forefront Power, LLC",Harmony Road Solar,IL,Illinois,McHenry,1823,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,1.9,9,2020,2020-09-01,N/A,N/A,,N,,Y,,,,,,,,180.0,25.0,2.2,Y,,,,,,Y,2.2,N, 
3949,62856,"Forefront Power, LLC",Square Barn Solar,IL,Illinois,McHenry,1820,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,1.5,9,2020,2020-09-01,N/A,N/A,,N,,Y,,,,,,,,180.0,25.0,1.7,Y,,,,,,Y,1.7,N, 
3950,62856,"Forefront Power, LLC",Reed Road Solar,IL,Illinois,McHenry,1822,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,1.3,9,2020,2020-09-01,N/A,N/A,,N,,Y,,,,,,,,180.0,25.0,1.6,Y,,,,,,Y,1.6,N, 
3951,61227,Nautilus Solar Solutions,BTC2 Solar (CSG),MD,Maryland,Baltimore,18,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,2.0,7,2019,2019-07-01,N/A,N/A,,Y,,,,,,,,,,0.0,25.0,3.0,Y,,,,,,N, ,Y,3.0
3952,62856,"Forefront Power, LLC",Mooseheart School Solar,IL,Illinois,Kane,1817,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,2.0,11,2020,2020-11-01,N/A,N/A,,N,,Y,,,,,,,,180.0,25.0,2.8,Y,,,,,,Y,2.8,N, 
3953,62856,"Forefront Power, LLC",Reedley Community College Solar,CA,California,Fresno,234,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,2.6,12,2018,2018-12-01,N/A,N/A,,N,,Y,,,,,,,,180.0,7.0,2.8,Y,,,,,,Y,2.8,N, 
3954,61227,Nautilus Solar Solutions,Upper Marlboro 1 CSG,MD,Maryland,Prince Georges,20,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,2.0,12,2019,2019-12-01,N/A,N/A,,Y,,,,,,,,,,90.0,25.0,3.0,Y,,,,,,N, ,Y,3.0
3955,5248,Dominion Energy Inc.,Gutenberg Solar,NC,North Carolina,Northampton,GUTN,OP,Solar Photovoltaic,PV,Electric Utility,1,79.9,9,2019,2019-09-01,N/A,N/A,,Y,,,,,,,,,,180.0, ,119.0,,Y,,,,,N, ,N, 
3956,62627,Cardinal Renewables,"Twittys Creek Solar, LLC",VA,Virginia,Charlotte,VATC,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,13.8,12,2020,2020-12-01,N/A,N/A,,Y,,,,,,,,,,180.0, ,17.4,Y,,,,,,N, ,N, 
3957,60059,ZGlobal Inc,Eagle Creek,CA,California,Kern,EGCRK,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,3.0,12,2019,2019-12-01,N/A,N/A,,Y,,,,,,,,,,180.0,0.0,4.1,Y,,,,,,N, ,N, 
3958,61227,Nautilus Solar Solutions,Bethlehem Solar,NY,New York,Albany,157,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,1.7,6,2019,2019-06-01,N/A,N/A,,Y,,,,,,,,,,0.0,25.0,2.2,Y,,,,,,N, ,Y,2.2
3959,60639,AEP Renewables,Harry Allen Solar Energy LLC,NV,Nevada,Clark,GEN1,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,100.0,5,2021,2021-05-01,N/A,N/A,,Y,,,,,,,,,,180.0, ,123.5,Y,,,,,,N, ,N, 
3960,59300,PNM Resources,San Miguel I Solar Energy Center,NM,New Mexico,San Miguel,SMI,OP,Solar Photovoltaic,PV,Electric Utility,1,10.0,9,2019,2019-09-01,N/A,N/A,,Y,,,,,,,,,,180.0,0.0,12.8,Y,,,,,,N, ,N, 
3961,59300,PNM Resources,San Miguel II Solar Energy Center,NM,New Mexico,San Miguel,SMII,OP,Solar Photovoltaic,PV,Electric Utility,1,10.0,10,2019,2019-10-01,N/A,N/A,,Y,,,,,,,,,,180.0,0.0,12.5,Y,,,,,,N, ,N, 
3962,62834,Caden Energix Pamplin LLC,Caden Energix Pamplin LLC,VA,Virginia,Appomattox,ENX04,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,15.7,7,2020,2020-07-01,N/A,N/A,,Y,,,,,,,,,,60.0, ,19.8,,Y,,,,,N, ,N, 
3963,62835,Caden Energix Hickory LLC,Caden Energix Hickory LLC,VA,Virginia,Chesapeake City,ENX02,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,20.0,8,2020,2020-08-01,N/A,N/A,,Y,,,,,,,,,,60.0, ,24.8,,Y,,,,,N, ,N, 
3964,62835,Caden Energix Hickory LLC,Caden Energix Hickory LLC,VA,Virginia,Chesapeake City,ENX03,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,12.0,9,2020,2020-09-01,N/A,N/A,,Y,,,,,,,,,,60.0, ,15.5,,Y,,,,,N, ,N, 
3965,61227,Nautilus Solar Solutions,White CSG,MD,Maryland,Baltimore,15124,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,2.0,1,2020,2020-01-01,N/A,N/A,,Y,,,,,,,,,,90.0,7.0,2.3,Y,,,,,,N, ,Y,2.0
3966,61227,Nautilus Solar Solutions,Frog Hollow CSG,NY,New York,Ulster,1731,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,2.0,10,2019,2019-10-01,N/A,N/A,,Y,,,,,,,,,,90.0,7.0,3.0,Y,,,,,,N, ,Y,3.0
